ticket_id,title,description,category,priority,resolution,created_date,status,resolution_time_hours
INCW454L,Switch port failure on SW-ACCESS-02,Wireless users in [area] unable to maintain stable connections. Signal strength degraded.,Network,Critical,Corrected VLAN [vlan_id] configuration on SW-ACCESS-02. Inter-VLAN routing restored.,17-09-2025 10:36,Resolved,37
INCN713X,Switch port failure on SW-CORE-01,Wireless users in [area] unable to maintain stable connections. Signal strength degraded.,Network,Medium,Fixed DNS server configuration and cleared cache. Domain api.company.com resolution working normally.,28-10-2025 10:36,Closed,51
INCW678M,DHCP pool exhausted in [subnet],Wireless users in [area] unable to maintain stable connections. Signal strength degraded.,Network,Critical,Fixed DNS server configuration and cleared cache. Domain api.company.com resolution working normally.,26-07-2025 10:36,Resolved,22
INCD577G,DNS resolution failures for mail.company.com,Wireless users in [area] unable to maintain stable connections. Signal strength degraded.,Network,Critical,Implemented traffic shaping and upgraded [interface] bandwidth. Utilization reduced to 94%.,09-02-2026 10:36,Resolved,15
INCR132T,DHCP pool exhausted in [subnet],Wireless users in [area] unable to maintain stable connections. Signal strength degraded.,Network,Medium,Improved ventilation and cleaned equipment fans. Temperature normalized in Remote Site.,05-05-2025 10:36,Closed,62
INCP835A,Switch port failure on SW-MGMT-01,Wireless users in [area] unable to maintain stable connections. Signal strength degraded.,Network,Medium,Relocated wireless access point and adjusted antenna positioning. Signal strength improved in [area].,04-08-2025 10:36,Closed,53
INCW901I,VLAN configuration error on SW-CORE-01,Wireless users in [area] unable to maintain stable connections. Signal strength degraded.,Network,Medium,Replaced faulty port module on SW-CORE-01. All 47 devices reconnected successfully.,23-01-2026 10:36,Closed,11
INCP108N,VLAN configuration error on SW-DMZ-01,Wireless users in [area] unable to maintain stable connections. Signal strength degraded.,Network,Critical,Updated routing tables on [router]. Traffic now following optimal paths to [destination].,15-09-2025 10:36,Resolved,11
INCE695O,Disk space full on FILE-SRV-01,VM VM-WEB-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,Low,Balanced storage load across arrays. Optimized IOPS distribution and added performance monitoring.,14-11-2025 10:36,Resolved,33
INCH860U,Server APP-SRV-03 not responding,VM VM-WEB-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,Critical,Restored network connectivity. Updated routing tables and verified server accessibility.,09-03-2026 10:36,Resolved,7
INCT824D,Server down - PROD-WEB-01,VM VM-WEB-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,Medium,Restored power to affected racks. Verified all systems operational and documented incident.,13-01-2026 10:36,Closed,12
INCW850U,Hardware failure detected on FILE-SRV-01,VM VM-WEB-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,High,Scheduled maintenance window. Successfully migrated VM with zero data loss.,21-12-2025 10:36,Resolved,37
INCZ882D,Server APP-SRV-03 not responding,VM VM-TEST-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,Critical,Balanced storage load across arrays. Optimized IOPS distribution and added performance monitoring.,04-07-2025 10:36,Closed,29
INCI549D,VM migration required for FILE-SRV-01,VM VM-TEST-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,High,Cleaned up temporary files and logs. Implemented automated cleanup scripts and storage monitoring.,02-06-2025 10:36,Closed,47
INCM157F,Server down - DB-SERVER-02,VM VM-TEST-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,High,Fixed backup script permissions. Re-ran backup job successfully and verified data integrity.,18-10-2025 10:36,Resolved,70
INCU427J,Storage array performance issues,VM VM-TEST-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,Critical,Restarted application services. Investigated memory leak root cause and applied patches.,16-08-2025 10:36,Closed,51
INCH354Q,Memory leak detected on APP-SRV-03,VM VM-DB-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,Medium,Fixed backup script permissions. Re-ran backup job successfully and verified data integrity.,20-12-2025 10:36,Resolved,52
INCI046B,Server FILE-SRV-01 not responding,VM VM-DB-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,Medium,Replaced faulty hardware component. Ran full diagnostics and confirmed system stability.,28-10-2025 10:36,Resolved,59
INCW644A,Memory leak detected on APP-SRV-03,VM VM-DB-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,High,Replaced faulty hardware component. Ran full diagnostics and confirmed system stability.,01-06-2025 10:36,Resolved,68
