ticket_id,user_id,title,description,category,resolution,priority,created_at,assignment_group,status
TKT-1001,USR-5570,Password reset for SAP,User locked out after 3 failed attempts. Needs manual unlock and reset.,Access Management,Restarted service and cleared cache.,P4 - Low,2026-01-26 18:00:00,Identity & Access Management (IAM),Closed
TKT-1002,USR-8218,NFS Mount point stale,The /mnt/shared volume is showing as stale on all worker nodes.,storage,Applied database index to optimize query performance.,P2 - High,2026-02-19 13:00:00,SAN/Storage Team,Resolved
TKT-1003,USR-9990,EBS volume snapshot timeout,Backup job for the data volume is timing out during the finalization phase.,storage,Coordinated with ISP to resolve routing issue.,P3 - Medium,2026-02-25 23:00:00,SAN/Storage Team,Closed
TKT-1004,USR-5355,Database connection pool exhausted,Application logs showing 'Could not get JDBC Connection'. Pool size at maximum.,Database,N/A - Ticket still open,P2 - High,2026-01-07 20:00:00,DBA Global,In Progress
TKT-1005,USR-8556,Server 82 unreachable in VPC,The EC2 instance in the production subnet is not responding to health checks. SSH timed out.,Infrastructure,N/A - Ticket still open,P2 - High,2026-02-13 14:00:00,Cloud Ops Team,Open
TKT-1006,USR-8271,Frontend CSS alignment issues,Navigation bar is overlapping with the hero section on mobile devices.,Application,N/A - Ticket still open,P4 - Low,2026-03-22 16:00:00,App Support Tier 2,In Progress
TKT-1007,USR-6890,S3 Bucket permissions mismatch,Public access blocked but internal lambda cannot read from the 'uploads' bucket.,storage,Restarted service and cleared cache.,P3 - Medium,2026-02-19 06:00:00,SAN/Storage Team,Resolved
TKT-1008,USR-9485,Slow query on transactions table,SELECT queries taking more than 10 seconds to complete on the production Postgres instance.,Database,Coordinated with ISP to resolve routing issue.,P3 - Medium,2026-02-08 01:00:00,DBA Global,Resolved
TKT-1009,USR-9923,VPN connection dropped,Office-to-Cloud VPN tunnel is down. Traffic is not routing via the gateway.,Network,N/A - Ticket still open,P1 - Critical,2026-02-19 20:00:00,Network Engineering,In Progress
TKT-1010,USR-5794,Weekly backup failed,RDS snapshot failed due to storage limit. Manual intervention needed.,Database,N/A - Ticket still open,P2 - High,2026-02-11 22:00:00,DBA Global,In Progress
TKT-1011,USR-9943,Login page throwing 500 error,Users reporting internal server error when clicking the login button on the portal.,Application,N/A - Ticket still open,P1 - Critical,2026-03-14 04:00:00,App Support Tier 2,Open
TKT-1012,USR-5362,EBS volume snapshot timeout,Backup job for the data volume is timing out during the finalization phase.,storage,Coordinated with ISP to resolve routing issue.,P3 - Medium,2026-01-18 11:00:00,SAN/Storage Team,Resolved
TKT-1013,USR-6990,Firewall rule blocking Port 443,New load balancer is not receiving traffic; likely a Security Group or NACL issue.,Network,N/A - Ticket still open,P2 - High,2026-03-03 22:00:00,Network Engineering,In Progress
TKT-1014,USR-9266,Vulnerability scan finding - Log4j,Critical vulnerability detected on legacy server. Patching required.,Security,N/A - Ticket still open,P1 - Critical,2026-03-09 07:00:00,SOC (Security Operations Center),Open
TKT-1015,USR-5377,Password reset for SAP,User locked out after 3 failed attempts. Needs manual unlock and reset.,Access Management,Increased partition size by 50GB.,P4 - Low,2026-03-03 04:00:00,Identity & Access Management (IAM),Resolved
TKT-1016,USR-8470,EBS volume snapshot timeout,Backup job for the data volume is timing out during the finalization phase.,storage,N/A - Ticket still open,P3 - Medium,2026-03-06 08:00:00,SAN/Storage Team,In Progress
TKT-1017,USR-6592,VPN connection dropped,Office-to-Cloud VPN tunnel is down. Traffic is not routing via the gateway.,Network,Coordinated with ISP to resolve routing issue.,P1 - Critical,2026-02-10 06:00:00,Network Engineering,Resolved
TKT-1018,USR-7263,Memory leak in API service,Pod restarts occurring every 2 hours due to OOM kill on the 'auth-service'.,Application,N/A - Ticket still open,P2 - High,2026-03-14 04:00:00,App Support Tier 2,In Progress
TKT-1019,USR-9009,Memory leak in API service,Pod restarts occurring every 2 hours due to OOM kill on the 'auth-service'.,Application,Reset credentials and sent encrypted link to user.,P2 - High,2026-01-09 13:00:00,App Support Tier 2,Closed
TKT-1020,USR-9962,Weekly backup failed,RDS snapshot failed due to storage limit. Manual intervention needed.,Database,N/A - Ticket still open,P2 - High,2026-03-19 05:00:00,DBA Global,In Progress
TKT-1021,USR-5137,Unauthorized login attempt detected,Multiple failed login attempts from an unknown IP address range in Eastern Europe.,Security,N/A - Ticket still open,P1 - Critical,2026-02-15 05:00:00,SOC (Security Operations Center),Open
TKT-1022,USR-9718,SSO Integration failing,Users getting 'SAML Token Invalid' error when trying to access Jira.,Access Management,N/A - Ticket still open,P2 - High,2026-01-21 00:00:00,Identity & Access Management (IAM),Open
TKT-1023,USR-8435,Slow query on transactions table,SELECT queries taking more than 10 seconds to complete on the production Postgres instance.,Database,N/A - Ticket still open,P3 - Medium,2026-01-04 10:00:00,DBA Global,In Progress
TKT-1024,USR-5877,NFS Mount point stale,The /mnt/shared volume is showing as stale on all worker nodes.,storage,Applied database index to optimize query performance.,P2 - High,2026-02-04 18:00:00,SAN/Storage Team,Resolved
TKT-1025,USR-7831,S3 Bucket permissions mismatch,Public access blocked but internal lambda cannot read from the 'uploads' bucket.,storage,N/A - Ticket still open,P3 - Medium,2026-02-18 17:00:00,SAN/Storage Team,Open
TKT-1026,USR-5318,Weekly backup failed,RDS snapshot failed due to storage limit. Manual intervention needed.,Database,Applied database index to optimize query performance.,P2 - High,2026-03-28 10:00:00,DBA Global,Closed
TKT-1027,USR-7958,VPN connection dropped,Office-to-Cloud VPN tunnel is down. Traffic is not routing via the gateway.,Network,N/A - Ticket still open,P1 - Critical,2026-01-04 17:00:00,Network Engineering,In Progress
TKT-1028,USR-9023,VPN connection dropped,Office-to-Cloud VPN tunnel is down. Traffic is not routing via the gateway.,Network,Coordinated with ISP to resolve routing issue.,P1 - Critical,2026-03-05 18:00:00,Network Engineering,Closed
TKT-1029,USR-9003,Unauthorized login attempt detected,Multiple failed login attempts from an unknown IP address range in Eastern Europe.,Security,N/A - Ticket still open,P1 - Critical,2026-02-20 06:00:00,SOC (Security Operations Center),Open
TKT-1030,USR-5786,Firewall rule blocking Port 443,New load balancer is not receiving traffic; likely a Security Group or NACL issue.,Network,Applied database index to optimize query performance.,P2 - High,2026-02-20 17:00:00,Network Engineering,Closed
TKT-1031,USR-7473,Slow query on transactions table,SELECT queries taking more than 10 seconds to complete on the production Postgres instance.,Database,N/A - Ticket still open,P3 - Medium,2026-03-31 21:00:00,DBA Global,Open
TKT-1032,USR-8189,S3 Bucket permissions mismatch,Public access blocked but internal lambda cannot read from the 'uploads' bucket.,storage,Reset credentials and sent encrypted link to user.,P3 - Medium,2026-03-26 17:00:00,SAN/Storage Team,Closed
TKT-1033,USR-9210,NFS Mount point stale,The /mnt/shared volume is showing as stale on all worker nodes.,storage,Reset credentials and sent encrypted link to user.,P2 - High,2026-03-20 18:00:00,SAN/Storage Team,Resolved
TKT-1034,USR-6503,SSO Integration failing,Users getting 'SAML Token Invalid' error when trying to access Jira.,Access Management,N/A - Ticket still open,P2 - High,2026-03-06 08:00:00,Identity & Access Management (IAM),Open
TKT-1035,USR-5835,Password reset for SAP,User locked out after 3 failed attempts. Needs manual unlock and reset.,Access Management,Restarted service and cleared cache.,P4 - Low,2026-01-31 04:00:00,Identity & Access Management (IAM),Resolved
TKT-1036,USR-8911,New hire onboarding - AD Access,New developer needs access to GitHub and AWS Sandbox environments.,Access Management,Updated Security Group rules to allow traffic.,P3 - Medium,2026-02-14 13:00:00,Identity & Access Management (IAM),Resolved
